,SteuerJahr,QuarSort,QuarLang,SteuerTarifSort,SteuerTarifLang,SteuerVermoegen_p50,SteuerVermoegen_p25,SteuerVermoegen_p75
0,1999,11,Rathaus,0,Grundtarif,20.0,0.0,150.0
3,1999,12,Hochschulen,0,Grundtarif,28.0,0.0,186.0
6,1999,13,Lindenhof,0,Grundtarif,57.0,2.0,331.0
9,1999,14,City,0,Grundtarif,13.0,0.0,96.5
12,1999,21,Wollishofen,0,Grundtarif,39.0,4.0,185.0
15,1999,23,Leimbach,0,Grundtarif,31.0,2.0,138.0
18,1999,24,Enge,0,Grundtarif,37.0,1.0,213.0
21,1999,31,Alt-Wiedikon,0,Grundtarif,23.0,0.0,114.0
24,1999,33,Friesenberg,0,Grundtarif,21.0,0.0,96.0
27,1999,34,Sihlfeld,0,Grundtarif,14.5,0.0,85.0
30,1999,41,Werd,0,Grundtarif,11.0,0.0,67.0
33,1999,42,Langstrasse,0,Grundtarif,2.0,0.0,39.0
36,1999,44,Hard,0,Grundtarif,8.0,0.0,59.0
39,1999,51,Gewerbeschule,0,Grundtarif,6.0,0.0,50.0
42,1999,52,Escher Wyss,0,Grundtarif,9.0,0.0,67.0
45,1999,61,Unterstrass,0,Grundtarif,35.0,2.0,152.0
48,1999,63,Oberstrass,0,Grundtarif,46.5,4.0,222.0
51,1999,71,Fluntern,0,Grundtarif,70.0,7.5,438.0
54,1999,72,Hottingen,0,Grundtarif,49.0,4.0,275.5
57,1999,73,Hirslanden,0,Grundtarif,44.0,6.0,211.0
60,1999,74,Witikon,0,Grundtarif,77.0,10.0,360.0
63,1999,81,Seefeld,0,Grundtarif,34.0,1.0,180.0
66,1999,82,Mühlebach,0,Grundtarif,34.0,2.0,168.0
69,1999,83,Weinegg,0,Grundtarif,38.0,2.0,222.0
72,1999,91,Albisrieden,0,Grundtarif,34.0,2.0,152.0
75,1999,92,Altstetten,0,Grundtarif,16.0,0.0,95.0
78,1999,101,Höngg,0,Grundtarif,49.0,5.0,227.0
81,1999,102,Wipkingen,0,Grundtarif,22.0,0.0,104.0
84,1999,111,Affoltern,0,Grundtarif,17.0,0.0,90.0
87,1999,115,Oerlikon,0,Grundtarif,23.0,0.0,123.0
90,1999,119,Seebach,0,Grundtarif,15.0,0.0,94.0
93,1999,121,Saatlen,0,Grundtarif,13.0,0.0,68.0
96,1999,122,Schwamendingen-Mitte,0,Grundtarif,16.0,0.0,88.0
99,1999,123,Hirzenbach,0,Grundtarif,17.0,0.0,70.0
102,2000,11,Rathaus,0,Grundtarif,21.0,0.0,149.5
105,2000,12,Hochschulen,0,Grundtarif,33.0,0.0,180.0
108,2000,13,Lindenhof,0,Grundtarif,70.0,4.0,323.0
111,2000,14,City,0,Grundtarif,12.0,0.0,93.5
114,2000,21,Wollishofen,0,Grundtarif,40.0,5.0,195.0
117,2000,23,Leimbach,0,Grundtarif,30.0,2.0,143.0
120,2000,24,Enge,0,Grundtarif,39.0,1.0,216.0
123,2000,31,Alt-Wiedikon,0,Grundtarif,23.0,0.0,114.0
126,2000,33,Friesenberg,0,Grundtarif,21.0,0.0,97.0
129,2000,34,Sihlfeld,0,Grundtarif,16.0,0.0,87.0
132,2000,41,Werd,0,Grundtarif,13.0,0.0,71.0
135,2000,42,Langstrasse,0,Grundtarif,4.0,0.0,39.0
138,2000,44,Hard,0,Grundtarif,8.0,0.0,56.0
141,2000,51,Gewerbeschule,0,Grundtarif,8.0,0.0,54.0
144,2000,52,Escher Wyss,0,Grundtarif,12.0,0.0,74.0
147,2000,61,Unterstrass,0,Grundtarif,34.0,2.0,155.0
150,2000,63,Oberstrass,0,Grundtarif,47.0,5.0,224.0
153,2000,71,Fluntern,0,Grundtarif,73.0,8.0,448.0
156,2000,72,Hottingen,0,Grundtarif,49.0,5.0,271.0
159,2000,73,Hirslanden,0,Grundtarif,45.0,7.0,217.5
162,2000,74,Witikon,0,Grundtarif,76.0,11.0,362.0
165,2000,81,Seefeld,0,Grundtarif,35.0,2.0,196.0
