"Jahr","StatZoneCd","StatZoneLang","QuarCd","QuarLang","KreisCd","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2008,"01101","Zähringerstrasse","011","Rathaus","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01101","Zähringerstrasse","011","Rathaus","1","Im Bau","6703",4,"Natürliche Personen",4
2008,"01101","Zähringerstrasse","011","Rathaus","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01102","Prediger","011","Rathaus","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01102","Prediger","011","Rathaus","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01102","Prediger","011","Rathaus","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01102","Prediger","011","Rathaus","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01102","Prediger","011","Rathaus","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01102","Prediger","011","Rathaus","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01102","Prediger","011","Rathaus","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01102","Prediger","011","Rathaus","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01102","Prediger","011","Rathaus","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01102","Prediger","011","Rathaus","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01103","Grossmünster","011","Rathaus","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01103","Grossmünster","011","Rathaus","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01103","Grossmünster","011","Rathaus","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01103","Grossmünster","011","Rathaus","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01103","Grossmünster","011","Rathaus","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01103","Grossmünster","011","Rathaus","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01103","Grossmünster","011","Rathaus","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01103","Grossmünster","011","Rathaus","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01103","Grossmünster","011","Rathaus","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01103","Grossmünster","011","Rathaus","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01104","Oberdorf","011","Rathaus","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01104","Oberdorf","011","Rathaus","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01104","Oberdorf","011","Rathaus","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01104","Oberdorf","011","Rathaus","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01104","Oberdorf","011","Rathaus","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01104","Oberdorf","011","Rathaus","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01104","Oberdorf","011","Rathaus","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01104","Oberdorf","011","Rathaus","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01104","Oberdorf","011","Rathaus","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01104","Oberdorf","011","Rathaus","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01201","Central","012","Hochschulen","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01201","Central","012","Hochschulen","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01201","Central","012","Hochschulen","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01201","Central","012","Hochschulen","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01201","Central","012","Hochschulen","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01201","Central","012","Hochschulen","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01201","Central","012","Hochschulen","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01201","Central","012","Hochschulen","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01201","Central","012","Hochschulen","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01201","Central","012","Hochschulen","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01202","ETH / Universität","012","Hochschulen","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01203","Bellevue","012","Hochschulen","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01203","Bellevue","012","Hochschulen","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01203","Bellevue","012","Hochschulen","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01203","Bellevue","012","Hochschulen","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01203","Bellevue","012","Hochschulen","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01203","Bellevue","012","Hochschulen","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01203","Bellevue","012","Hochschulen","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01203","Bellevue","012","Hochschulen","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01203","Bellevue","012","Hochschulen","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01203","Bellevue","012","Hochschulen","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01204","See Nord","012","Hochschulen","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01204","See Nord","012","Hochschulen","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01204","See Nord","012","Hochschulen","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01204","See Nord","012","Hochschulen","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01204","See Nord","012","Hochschulen","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01204","See Nord","012","Hochschulen","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01204","See Nord","012","Hochschulen","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01204","See Nord","012","Hochschulen","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01204","See Nord","012","Hochschulen","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01204","See Nord","012","Hochschulen","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01301","Schipfe","013","Lindenhof","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01301","Schipfe","013","Lindenhof","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01301","Schipfe","013","Lindenhof","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01301","Schipfe","013","Lindenhof","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01301","Schipfe","013","Lindenhof","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01301","Schipfe","013","Lindenhof","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01301","Schipfe","013","Lindenhof","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01301","Schipfe","013","Lindenhof","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01301","Schipfe","013","Lindenhof","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01301","Schipfe","013","Lindenhof","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01302","Münsterhof","013","Lindenhof","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01302","Münsterhof","013","Lindenhof","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01302","Münsterhof","013","Lindenhof","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01302","Münsterhof","013","Lindenhof","1","Bewilligt","6702",4,"Natürliche Personen",0
